data,cultura,umidade_solo,ph_solo,temperatura,nitrogenio,fosforo,potassio,radiacao_solar,precipitacao,volume_irrigacao,necessidade_fert,rendimento_tha
2024-02-15,Milho,44.2,5.56,29.42,45.63,41.21,40.2,7.75,5.11,50.0,22.9,9.44
2024-02-16,Cana,48.09,6.66,28.26,28.02,30.0,18.47,23.8,6.45,50.0,54.6,9.299
2024-02-17,Cana,70.86,6.04,17.12,43.62,29.91,28.22,16.32,6.76,38.1,38.24,11.012
2024-02-18,Soja,60.15,6.5,32.38,49.19,26.72,47.26,20.13,1.89,50.0,21.09,12.0
2024-02-19,Milho,28.55,5.72,31.9,54.72,31.55,60.06,23.99,10.85,50.0,10.15,10.731
2024-02-20,Soja,59.86,6.27,21.87,38.8,38.25,15.97,11.14,0.2,47.92,45.93,9.758
2024-02-21,Milho,49.22,6.08,26.98,37.56,21.33,12.44,14.45,3.51,50.0,50.92,9.069
2024-02-22,Milho,44.85,7.13,27.47,29.46,23.42,57.45,16.56,12.12,50.0,40.27,9.119
2024-02-23,Algodão,64.18,6.4,26.3,30.08,26.96,39.68,14.08,6.64,49.93,43.52,10.406
2024-02-24,Cana,70.46,6.47,22.25,37.28,16.54,24.58,26.67,2.42,39.28,55.15,11.16
2024-02-25,Milho,68.97,5.87,21.64,44.41,21.81,41.42,13.72,9.5,32.52,29.66,10.932
2024-02-26,Milho,42.41,5.81,24.87,50.96,25.24,5.0,15.22,6.7,50.0,54.59,8.27
2024-02-27,Algodão,50.36,5.85,30.86,30.36,38.74,35.04,19.02,12.73,50.0,42.82,9.481
2024-02-28,Algodão,59.97,6.52,27.72,57.91,32.63,38.93,11.99,10.62,50.0,8.93,11.243
2024-02-29,Soja,69.63,5.86,23.15,36.75,31.94,46.09,16.02,7.54,41.85,23.38,10.95
2024-03-01,Soja,47.81,6.43,28.86,39.74,38.51,22.83,19.59,5.36,50.0,33.82,10.479
2024-03-02,Milho,52.22,7.86,10.76,31.03,28.63,36.03,16.34,1.14,44.65,46.62,9.354
2024-03-03,Soja,38.4,6.9,30.74,10.91,33.9,23.89,17.53,2.42,50.0,68.83,7.757
2024-03-04,Soja,37.06,5.94,16.3,50.61,28.97,38.06,15.35,4.35,50.0,29.64,9.651
2024-03-05,Soja,67.19,7.16,23.19,48.84,32.65,24.26,10.43,7.32,48.92,34.43,10.89
2024-03-06,Milho,75.34,5.87,19.4,36.62,24.17,30.1,19.61,5.77,36.94,50.82,10.687
2024-03-07,Soja,53.92,4.57,18.53,40.8,5.61,23.05,26.77,2.72,48.96,62.51,9.093
2024-03-08,Soja,70.05,5.39,30.8,46.19,28.66,42.81,18.09,0.05,44.52,18.25,11.011
2024-03-09,Soja,60.42,4.7,22.66,21.25,44.23,45.3,19.13,5.49,47.11,35.21,8.956
2024-03-10,Algodão,45.32,5.92,26.73,33.65,39.26,32.18,21.46,2.69,50.0,40.93,9.423
2024-03-11,Algodão,60.42,6.21,24.77,49.53,39.65,35.46,11.65,10.61,50.0,17.21,10.507
2024-03-12,Milho,78.07,7.54,27.39,24.95,42.36,17.62,26.51,0.19,39.54,53.11,10.697
2024-03-13,Milho,54.46,6.46,25.38,43.52,30.89,31.4,19.01,7.03,50.0,31.33,11.303
2024-03-14,Cana,78.47,6.02,18.59,23.72,31.97,34.4,26.16,22.71,33.22,44.91,11.641
2024-03-15,Soja,15.7,6.86,29.98,45.6,23.82,66.45,14.33,1.53,50.0,14.86,9.941
2024-03-16,Soja,67.33,4.5,22.53,39.57,26.84,21.66,27.09,5.1,44.91,47.51,10.168
2024-03-17,Soja,56.31,6.39,17.22,20.62,36.16,52.57,21.88,0.77,47.14,35.63,10.286
2024-03-18,Soja,50.51,6.82,22.86,53.98,42.04,46.96,20.77,7.86,50.0,3.04,11.392
2024-03-19,Milho,56.38,5.02,32.5,31.18,28.61,38.37,19.17,6.4,50.0,38.21,9.552
2024-03-20,Algodão,25.19,7.12,29.25,30.28,25.5,56.1,16.76,4.19,50.0,41.26,9.096
2024-03-21,Milho,51.7,6.47,23.26,42.41,30.01,39.47,24.0,5.89,50.0,28.44,11.199
2024-03-22,Milho,60.36,5.87,23.25,53.78,36.01,39.67,18.7,18.15,47.8,20.87,11.642
2024-03-23,Cana,77.17,6.71,23.39,27.81,15.56,34.36,8.16,1.75,35.96,66.77,9.907
2024-03-24,Soja,47.23,8.02,35.38,40.74,7.04,49.68,12.41,0.18,50.0,43.41,9.041
2024-03-25,Soja,42.87,6.35,26.91,45.15,24.49,48.16,17.07,15.82,50.0,21.32,11.04
2024-03-26,Milho,47.47,6.4,27.15,48.32,17.79,27.49,19.55,6.89,50.0,30.52,10.445
2024-03-27,Milho,68.73,5.83,30.15,42.12,24.92,19.17,17.72,17.71,42.72,39.09,10.475
2024-03-28,Soja,59.93,5.52,26.19,35.6,28.52,32.56,24.09,7.27,49.54,35.18,10.402
2024-03-29,Milho,47.05,6.86,23.7,30.07,25.47,25.4,8.24,13.29,50.0,61.21,8.423
2024-03-30,Milho,62.7,5.52,24.02,41.03,44.52,34.24,18.72,4.49,50.0,23.38,11.09
2024-03-31,Trigo,56.46,6.26,24.64,27.13,33.27,49.85,8.91,11.09,50.0,38.29,9.396
2024-04-01,Milho,69.53,5.82,24.81,5.0,33.0,29.51,21.8,19.54,34.73,59.79,9.621
2024-04-02,Soja,44.47,6.58,28.64,45.24,36.22,34.49,17.53,6.79,50.0,19.1,10.101
2024-04-03,Soja,50.09,6.47,25.26,50.85,18.61,35.7,20.1,1.6,50.0,37.28,10.965
2024-04-04,Milho,49.12,7.03,28.66,11.64,40.39,45.18,13.68,2.5,50.0,50.37,8.626
2024-04-05,Soja,33.05,5.79,24.6,27.88,29.24,8.04,24.4,1.77,50.0,63.16,8.481
2024-04-06,Cana,59.44,5.98,25.39,47.43,36.7,27.72,23.21,2.27,50.0,29.4,11.166
2024-04-07,Milho,58.92,5.42,15.01,64.69,19.28,37.54,20.92,2.93,39.14,25.54,10.401
2024-04-08,Soja,55.08,5.84,29.58,40.25,14.46,49.4,17.35,6.48,50.0,37.43,10.258
2024-04-09,Trigo,51.48,6.5,26.73,31.26,38.18,29.1,20.9,7.09,50.0,41.08,10.127
2024-04-10,Milho,33.77,6.81,29.99,37.81,33.76,12.48,14.47,4.45,50.0,48.66,9.02
2024-04-11,Soja,48.69,5.46,10.52,56.5,20.98,42.44,22.28,7.64,46.56,33.22,10.444
2024-04-12,Algodão,49.86,6.9,35.44,32.25,21.3,27.38,26.25,0.68,50.0,43.79,9.795
2024-04-13,Algodão,42.97,7.28,24.3,30.41,41.25,20.72,23.35,0.74,50.0,47.57,9.014
2024-04-14,Trigo,52.58,6.53,30.54,34.21,18.11,27.51,14.35,1.51,50.0,54.23,9.174
2024-04-15,Soja,61.06,7.7,19.8,28.56,46.43,32.79,19.81,5.84,47.66,37.46,9.747
2024-04-16,Milho,83.29,5.58,28.06,41.47,20.99,27.74,11.53,1.93,28.95,41.8,10.652
2024-04-17,Trigo,57.62,5.2,19.73,59.5,36.38,8.53,20.86,2.66,48.82,26.03,10.973
2024-04-18,Soja,58.86,4.78,21.88,43.88,26.71,45.76,20.25,4.09,42.28,30.85,9.761
2024-04-19,Soja,53.88,7.4,34.57,36.97,36.03,50.3,8.65,13.36,50.0,39.59,10.18
2024-04-20,Algodão,26.22,6.72,24.05,36.5,24.56,42.82,12.19,0.11,50.0,42.2,8.072
2024-04-21,Soja,54.6,6.16,26.09,21.24,28.37,21.35,16.58,8.38,50.0,59.01,8.475
2024-04-22,Trigo,55.9,6.42,29.35,50.6,30.41,32.58,16.5,8.84,50.0,23.41,10.618
2024-04-23,Milho,91.95,5.3,27.48,39.07,19.98,34.92,11.95,12.82,25.43,41.73,10.005
2024-04-24,Milho,52.11,8.16,25.75,37.83,37.41,42.19,19.94,21.6,49.97,17.95,9.17
2024-04-25,Soja,59.52,6.3,26.82,78.32,24.87,43.02,19.26,0.16,50.0,0.0,12.0
2024-04-26,Algodão,54.48,6.29,37.02,43.59,27.71,26.19,17.03,1.34,50.0,42.19,10.012
2024-04-27,Milho,37.47,6.78,24.71,30.98,20.06,35.98,14.22,17.38,50.0,45.01,9.018
2024-04-28,Milho,72.14,6.58,26.01,34.88,5.0,40.49,23.24,4.91,32.92,62.07,11.082
2024-04-29,Trigo,66.28,6.38,30.25,53.78,28.09,52.47,26.28,6.65,44.85,14.7,12.0
2024-04-30,Trigo,66.87,5.57,30.53,41.36,54.13,43.45,15.58,8.7,44.38,5.6,11.558
2024-05-01,Cana,41.36,6.58,30.94,22.74,37.85,44.47,14.94,9.09,50.0,39.59,9.453
2024-05-02,Milho,76.04,7.71,28.19,51.03,29.81,36.01,20.46,21.48,34.49,31.51,10.852
2024-05-03,Milho,33.97,7.28,19.28,31.98,27.37,51.93,16.21,46.34,47.74,38.63,9.536
2024-05-04,Cana,63.8,7.47,33.17,62.48,30.22,39.92,17.3,10.19,45.91,9.43,11.189
2024-05-05,Milho,87.86,5.79,19.27,52.96,35.47,24.67,21.7,2.71,27.92,22.67,11.748
2024-05-06,Soja,40.14,5.41,26.51,34.63,18.19,51.84,8.45,16.95,50.0,40.09,8.525
2024-05-07,Soja,46.51,6.1,21.23,55.37,41.14,43.37,24.59,0.4,50.0,3.13,11.399
2024-05-08,Algodão,56.49,6.24,24.68,40.81,37.15,29.68,18.36,2.1,50.0,21.13,10.542
2024-05-09,Milho,47.45,7.08,26.64,50.23,37.18,29.25,15.94,18.21,50.0,32.68,10.532
2024-05-10,Trigo,31.74,4.85,26.61,45.82,34.38,38.56,17.55,2.37,50.0,24.32,9.169
2024-05-11,Milho,56.03,7.42,27.11,29.84,30.2,40.56,17.81,1.99,50.0,43.66,9.331
2024-05-12,Soja,39.07,6.07,33.07,32.28,36.73,37.37,9.34,1.19,50.0,35.63,8.784
2024-05-13,Milho,62.1,5.86,27.27,52.36,35.92,38.74,25.47,15.68,41.19,11.99,12.0
2024-05-14,Soja,41.21,5.39,23.78,35.98,26.46,55.4,18.21,5.55,50.0,28.68,9.838
2024-05-15,Milho,78.25,4.88,29.82,35.16,24.26,47.86,20.22,8.99,39.79,28.72,11.28
2024-05-16,Milho,43.25,6.86,30.95,28.54,31.02,37.29,22.76,2.19,50.0,55.66,10.156
2024-05-17,Milho,50.17,6.26,18.86,45.08,45.49,46.3,12.89,11.35,49.95,4.57,11.442
2024-05-18,Trigo,67.2,5.17,27.99,64.75,17.61,22.61,20.37,11.42,41.18,22.44,10.24
2024-05-19,Algodão,36.54,5.16,28.51,27.19,15.32,39.78,16.66,3.0,50.0,54.48,8.207
2024-05-20,Trigo,58.41,5.93,23.51,40.29,31.65,56.71,22.23,4.23,50.0,26.8,11.358
2024-05-21,Soja,74.61,7.54,31.88,56.95,30.51,32.38,7.36,1.88,45.56,19.29,10.526
2024-05-22,Soja,30.89,5.99,24.25,39.04,31.73,24.83,17.5,30.03,50.0,34.49,9.106
2024-05-23,Milho,57.77,5.0,25.63,45.43,32.44,27.17,14.99,8.3,45.64,38.59,10.008
2024-05-24,Cana,58.9,6.0,24.13,27.25,27.77,21.92,20.16,21.81,40.84,61.03,9.73
2024-05-25,Algodão,66.73,5.98,25.08,45.14,44.9,25.58,20.35,2.89,36.44,26.28,11.02
2024-05-26,Algodão,36.45,4.5,19.52,37.75,13.99,30.55,14.46,12.18,50.0,56.3,7.737
2024-05-27,Soja,35.19,6.16,17.8,51.83,21.72,18.13,14.44,11.61,50.0,51.89,8.904
2024-05-28,Milho,62.83,6.02,32.97,54.25,28.97,35.19,17.45,9.41,50.0,32.39,11.261
2024-05-29,Milho,59.45,6.76,20.77,71.07,13.57,45.83,13.52,26.97,40.01,7.14,11.626
2024-05-30,Soja,58.76,7.68,20.04,46.96,28.24,24.11,22.21,4.0,47.62,44.11,10.03
2024-05-31,Soja,60.2,7.1,14.23,43.91,46.61,53.23,16.15,1.12,42.58,8.78,11.708
2024-06-01,Cana,44.8,5.98,21.81,42.33,30.21,41.13,5.0,8.91,50.0,31.32,8.982
2024-06-02,Soja,58.48,5.31,18.38,35.76,32.31,47.37,16.13,10.45,47.41,21.51,10.742
2024-06-03,Soja,59.4,8.26,33.21,44.06,17.4,27.11,12.81,6.85,48.13,44.9,7.971
2024-06-04,Soja,44.28,6.25,30.05,36.46,23.84,45.25,9.84,1.85,50.0,33.26,9.228
2024-06-05,Cana,82.99,6.21,21.56,42.02,26.25,21.9,11.81,5.62,33.8,47.98,10.936
2024-06-06,Milho,62.11,6.18,36.26,55.81,26.82,45.68,18.55,2.99,50.0,20.68,11.832
2024-06-07,Trigo,37.13,6.36,29.91,27.92,42.82,37.06,24.64,4.46,50.0,25.22,10.012
2024-06-08,Algodão,64.85,6.08,23.38,53.68,35.58,41.64,19.57,8.29,50.0,12.77,11.901
2024-06-09,Soja,40.38,5.74,12.5,55.81,18.89,20.89,14.97,10.94,50.0,42.16,9.342
2024-06-10,Milho,66.81,5.76,36.45,38.58,32.47,24.26,20.28,2.11,50.0,39.96,10.145
2024-06-11,Soja,72.38,6.17,18.05,14.54,34.98,42.17,15.7,4.16,34.9,55.82,10.552
2024-06-12,Soja,42.69,5.77,16.77,32.71,41.4,23.62,14.53,2.51,50.0,41.76,9.285
2024-06-13,Algodão,69.45,5.63,30.11,55.56,45.81,40.56,12.23,1.77,47.29,5.16,11.975
2024-06-14,Trigo,61.19,6.29,37.2,39.73,19.85,18.59,9.24,12.24,50.0,51.88,8.85
2024-06-15,Milho,67.33,6.0,31.92,28.01,21.89,45.18,16.05,19.2,40.01,41.29,10.021
2024-06-16,Milho,83.45,7.4,27.82,33.94,17.42,20.21,18.79,3.7,35.0,54.38,9.938
2024-06-17,Milho,51.32,4.5,27.97,50.09,27.66,41.63,17.52,11.13,50.0,26.35,9.225
2024-06-18,Soja,43.69,7.07,29.27,46.56,34.66,42.51,15.92,18.18,50.0,20.3,10.475
2024-06-19,Soja,41.66,7.2,28.79,37.13,39.87,26.64,13.27,14.97,50.0,34.29,9.001
2024-06-20,Soja,42.76,4.54,26.41,35.6,29.24,41.98,21.04,1.62,50.0,33.7,9.155
2024-06-21,Soja,53.84,5.93,25.52,35.3,26.8,38.13,11.41,25.04,49.81,38.86,9.182
2024-06-22,Algodão,60.12,5.9,24.69,28.93,31.52,28.53,21.88,3.78,49.96,53.97,10.699
2024-06-23,Soja,59.15,5.07,21.23,59.38,21.65,22.9,12.99,3.31,45.36,27.88,9.448
2024-06-24,Soja,67.41,5.58,23.6,36.13,50.9,11.45,14.24,0.52,45.41,29.58,10.095
2024-06-25,Milho,55.2,5.31,16.54,54.61,13.92,39.2,10.67,5.33,45.06,34.46,9.928
2024-06-26,Algodão,76.8,7.6,24.51,58.26,31.85,16.22,15.49,0.92,36.32,25.51,10.792
2024-06-27,Soja,51.03,6.95,20.06,51.98,50.24,36.14,22.88,2.29,50.0,6.3,12.0
2024-06-28,Soja,95.0,7.22,19.48,34.82,30.07,31.84,20.58,3.05,23.22,50.06,10.993
2024-06-29,Milho,64.39,6.78,25.9,44.84,28.1,43.15,22.89,13.24,40.34,26.68,12.0
2024-06-30,Trigo,42.14,5.3,31.96,39.71,26.43,31.38,20.61,16.67,50.0,41.77,9.106
2024-07-01,Milho,38.94,5.78,29.59,29.16,28.2,31.05,12.48,2.88,50.0,43.76,8.171
2024-07-02,Algodão,62.24,6.59,17.15,43.89,43.73,43.78,16.35,15.65,38.2,13.76,11.445
2024-07-03,Cana,51.65,5.22,20.05,25.85,7.88,39.02,14.1,15.57,44.59,67.48,8.378
2024-07-04,Trigo,65.71,6.77,29.7,54.25,45.33,38.79,24.65,11.57,44.95,0.0,12.0
2024-07-05,Milho,62.1,6.01,20.09,34.42,15.76,40.63,12.02,1.27,44.86,49.59,9.351
2024-07-06,Milho,53.91,5.9,23.88,42.41,27.33,16.57,22.47,9.38,50.0,46.28,9.881
2024-07-07,Soja,42.3,6.77,27.75,43.4,25.71,44.08,22.46,23.21,50.0,29.79,10.076
2024-07-08,Cana,32.28,6.56,20.16,36.89,35.89,42.35,27.15,9.18,50.0,34.17,11.202
2024-07-09,Milho,48.3,5.91,25.53,47.04,14.02,22.8,15.95,3.22,50.0,49.74,9.167
2024-07-10,Soja,67.85,7.13,18.33,34.3,34.62,32.07,21.56,5.55,39.09,46.15,10.952
2024-07-11,Trigo,58.21,5.34,21.99,50.46,50.24,34.53,29.41,8.3,49.66,3.67,11.809
2024-07-12,Soja,36.31,6.69,26.6,23.85,16.37,33.39,14.91,5.72,50.0,63.71,7.962
2024-07-13,Milho,57.6,6.67,17.04,41.52,31.9,39.01,10.32,1.02,50.0,29.98,10.334
2024-07-14,Milho,60.78,5.95,27.2,63.27,23.38,52.18,8.6,2.99,44.42,1.38,11.736
2024-07-15,Milho,41.74,6.46,24.9,28.0,34.26,47.98,21.56,12.97,50.0,40.59,10.224
2024-07-16,Algodão,57.31,5.2,27.76,31.87,30.19,19.25,8.58,15.81,48.35,64.05,8.83
2024-07-17,Soja,55.87,6.94,26.12,46.17,23.59,42.46,16.14,1.18,50.0,29.4,11.05
2024-07-18,Milho,37.86,6.05,31.82,42.15,34.88,50.95,20.19,24.36,50.0,21.9,10.803
2024-07-19,Milho,60.37,5.78,25.63,44.21,48.04,39.64,18.93,3.19,50.0,14.0,11.156
2024-07-20,Trigo,63.41,7.04,22.85,45.87,28.09,48.09,20.13,8.69,43.27,19.23,10.944
2024-07-21,Trigo,71.25,5.64,25.61,47.62,37.2,59.15,19.11,11.15,36.29,0.0,11.862
2024-07-22,Milho,70.81,5.07,27.72,53.32,17.07,47.28,24.39,13.37,44.54,21.13,11.346
2024-07-23,Milho,34.33,4.95,25.24,44.92,20.44,37.99,13.24,23.31,50.0,28.98,8.721
2024-07-24,Soja,40.93,6.68,25.2,37.1,34.72,47.54,14.62,3.0,50.0,35.11,9.326
2024-07-25,Cana,62.73,5.18,21.49,48.07,44.84,36.74,14.14,15.64,45.85,13.44,10.641
2024-07-26,Milho,62.71,7.6,21.69,62.8,33.56,35.29,22.15,1.13,43.51,7.45,11.712
2024-07-27,Trigo,62.73,4.53,17.99,38.41,26.87,30.78,22.5,9.77,43.94,46.07,9.284
2024-07-28,Soja,95.0,7.56,33.75,28.31,29.99,53.76,20.26,10.84,25.35,29.83,11.992
2024-07-29,Soja,63.56,6.37,18.78,53.28,17.5,25.18,23.92,9.06,41.78,33.78,11.368
2024-07-30,Milho,72.03,6.12,21.54,38.56,36.05,53.39,12.11,2.33,39.86,20.92,11.89
2024-07-31,Algodão,69.31,5.76,21.41,13.93,38.82,41.0,26.34,16.51,32.73,55.56,10.233
2024-08-01,Milho,64.77,6.52,29.47,50.17,25.48,18.21,25.62,1.48,46.62,41.03,11.718
2024-08-02,Cana,50.27,6.17,23.53,33.58,25.3,39.41,21.68,0.44,50.0,43.78,10.809
2024-08-03,Milho,66.38,7.08,31.24,38.91,32.66,9.8,26.91,10.11,48.78,49.47,10.952
2024-08-04,Milho,43.41,6.29,21.63,43.98,25.63,42.51,9.72,5.16,50.0,32.01,9.402
2024-08-05,Soja,51.45,6.32,26.39,42.29,29.34,45.62,15.38,15.13,50.0,27.88,10.58
2024-08-06,Algodão,47.72,5.91,20.82,48.51,51.0,27.89,14.32,3.87,50.0,8.8,10.396
2024-08-07,Soja,56.23,6.15,35.73,34.77,27.53,36.48,21.61,1.47,50.0,41.54,10.427
2024-08-08,Algodão,89.72,6.45,19.06,46.16,26.42,58.45,12.75,14.48,21.78,12.27,12.0
2024-08-09,Algodão,26.99,4.83,26.55,36.89,23.52,28.93,21.79,6.37,50.0,47.34,7.687
2024-08-10,Cana,65.29,5.12,28.17,48.87,37.44,22.29,24.85,1.68,50.0,25.4,10.768
2024-08-11,Milho,30.81,6.79,27.07,47.38,28.19,52.78,21.48,10.19,50.0,31.09,9.749
2024-08-12,Trigo,47.92,6.34,24.07,28.77,23.51,58.55,19.42,5.73,50.0,37.09,10.918
2024-08-13,Trigo,71.33,6.05,24.35,53.03,43.21,35.04,13.06,7.42,35.42,4.35,11.583
2024-08-14,Soja,55.96,6.21,25.22,33.57,44.2,47.14,13.77,4.94,50.0,22.12,10.787
2024-08-15,Milho,38.83,6.48,24.26,49.7,24.0,51.1,24.25,14.12,50.0,23.04,11.091
2024-08-16,Soja,44.27,5.77,29.82,44.41,11.33,26.09,21.9,14.16,50.0,59.24,9.741
2024-08-17,Milho,65.19,5.58,36.05,62.06,40.08,29.18,17.8,9.89,43.75,5.43,10.308
2024-08-18,Soja,44.04,6.36,22.21,37.32,23.15,49.77,15.91,0.89,50.0,26.38,10.1
2024-08-19,Soja,58.25,5.42,18.15,35.81,37.91,55.22,7.87,14.6,40.8,24.82,9.895
2024-08-20,Milho,55.68,6.53,24.56,39.77,10.3,41.75,12.65,8.89,48.81,40.04,9.826
2024-08-21,Milho,45.23,4.84,37.9,36.36,38.93,24.44,27.56,9.55,50.0,35.65,9.868
2024-08-22,Milho,87.16,7.02,20.98,49.6,17.89,58.84,11.6,3.61,31.27,19.5,11.636
2024-08-23,Soja,64.51,6.58,33.2,20.6,37.31,28.63,18.95,16.91,46.99,52.02,10.312
2024-08-24,Milho,24.62,6.4,33.39,27.36,30.14,30.98,23.04,10.34,50.0,53.39,8.972
2024-08-25,Soja,57.8,6.99,22.23,27.19,20.46,39.11,11.73,0.96,47.09,49.56,9.746
2024-08-26,Milho,45.07,7.53,27.84,51.4,25.93,53.65,18.92,4.19,50.0,14.29,10.298
2024-08-27,Milho,67.79,7.01,33.14,60.53,36.86,45.25,22.69,17.4,49.3,2.76,12.0
2024-08-28,Milho,43.11,4.73,23.1,38.75,31.06,39.98,18.06,0.39,50.0,33.17,9.448
2024-08-29,Trigo,53.28,5.18,23.98,37.97,35.84,40.56,30.0,26.04,50.0,29.5,10.779
2024-08-30,Soja,62.57,5.7,22.09,40.84,49.76,35.52,9.66,9.09,43.79,20.21,9.907
2024-08-31,Trigo,67.99,6.22,19.93,53.94,14.36,41.7,23.29,7.98,39.98,33.77,11.469
2024-09-01,Milho,37.0,6.61,21.75,28.87,46.17,5.0,17.14,2.52,50.0,53.15,8.991
2024-09-02,Milho,49.98,5.62,18.88,42.86,31.04,31.44,21.86,2.29,50.0,35.71,10.381
2024-09-03,Milho,47.88,6.35,25.17,51.7,21.01,37.9,20.21,22.79,50.0,20.84,10.592
2024-09-04,Soja,45.2,5.6,21.15,46.01,16.7,21.19,14.33,2.83,50.0,48.17,7.684
2024-09-05,Trigo,81.48,5.71,26.17,42.27,28.11,39.64,19.14,11.95,32.29,33.85,11.648
2024-09-06,Milho,61.07,5.07,17.22,52.01,39.22,32.55,8.71,4.0,45.67,20.73,9.506
